pars,par_value_min,par_value_max,strategy,QALYs_min,QALYs_max,Inc_QALYs_min,Inc_QALYs_max
c_Multiple_Amput,46200,85800,MenC,4283.980661763049,4283.980661763049,0,0
c_Multiple_Amput,46200,85800,MenACWY,4283.999855548187,4283.999855548187,0.019193785137758823,0.019193785137758823
c_Multiple_Amput,46200,85800,MenACWY_MenB,4284.010703467485,4284.010703467485,0.030041704435461725,0.030041704435461725
c_Multiple_Amput,46200,85800,MenABCWY,4284.00666510507,4284.00666510507,0.02600334202088561,0.02600334202088561
c_Neuro_Disab,10950.8,20337.2,MenC,4283.980661763049,4283.980661763049,0,0
c_Neuro_Disab,10950.8,20337.2,MenACWY,4283.999855548187,4283.999855548187,0.019193785137758823,0.019193785137758823
c_Neuro_Disab,10950.8,20337.2,MenACWY_MenB,4284.010703467485,4284.010703467485,0.030041704435461725,0.030041704435461725
c_Neuro_Disab,10950.8,20337.2,MenABCWY,4284.00666510507,4284.00666510507,0.02600334202088561,0.02600334202088561
c_Hearing_Loss,17565.1,32620.9,MenC,4283.980661763049,4283.980661763049,0,0
c_Hearing_Loss,17565.1,32620.9,MenACWY,4283.999855548187,4283.999855548187,0.019193785137758823,0.019193785137758823
c_Hearing_Loss,17565.1,32620.9,MenACWY_MenB,4284.010703467485,4284.010703467485,0.030041704435461725,0.030041704435461725
c_Hearing_Loss,17565.1,32620.9,MenABCWY,4284.00666510507,4284.00666510507,0.02600334202088561,0.02600334202088561
c_Renal_Failure,12704.3,23593.7,MenC,4283.980661763049,4283.980661763049,0,0
c_Renal_Failure,12704.3,23593.7,MenACWY,4283.999855548187,4283.999855548187,0.019193785137758823,0.019193785137758823
c_Renal_Failure,12704.3,23593.7,MenACWY_MenB,4284.010703467485,4284.010703467485,0.030041704435461725,0.030041704435461725
c_Renal_Failure,12704.3,23593.7,MenABCWY,4284.00666510507,4284.00666510507,0.02600334202088561,0.02600334202088561
c_Seizure,9417.8,17490.2,MenC,4283.980661763049,4283.980661763049,0,0
